word,sign,sovExample,category
accelerate,quick,I accelerate,Transportation
accelerating,quick,I accelerateing am,Transportation
accelerated,quick,I yesterday accelerateed,Transportation
account,work,I account,General
accounting,work,I accounting am,General
accounted,work,I yesterday accounted,General
ache,work,I ache,General
aching,work,I acheing am,General
ached,work,I yesterday acheed,General
add,add,I add,General
adding,add,I adding am,General
added,add,I yesterday added,General
aid,work,I aid,General
aiding,work,I aiding am,General
aided,work,I yesterday aided,General
alert,call,I people alert,Disaster Management
alerting,call,I alerting am,Disaster Management
alerted,call,I yesterday alerted,Disaster Management
alight,work,I alight,General
alighting,work,I alighting am,General
alighted,work,I yesterday alighted,General
align,work,I align,General
aligning,work,I aligning am,General
aligned,work,I yesterday aligned,General
allocate,divide,I allocate,General
allocating,divide,I allocateing am,General
allocated,divide,I yesterday allocateed,General
amazed,work,I amazed,General
amazeding,work,I amazeding am,General
angry,angry,I angry,General
angrying,angry,I angrying am,General
angryed,angry,I yesterday angryed,General
answer,answer,I answer,Communication
answering,answer,I answering am,Communication
answered,answer,I yesterday answered,Communication
argue,fight,I argue,General
arguing,fight,I argueing am,General
argued,fight,I yesterday argueed,General
arrange,order,I arrange,General
arranging,order,I arrangeing am,General
arranged,order,I yesterday arrangeed,General
arrest,catch,I arrest,Legal
arresting,catch,I arresting am,Legal
arrested,catch,I yesterday arrested,Legal
ascend,up,I ascend,General
ascending,up,I ascending am,General
ascended,up,I yesterday ascended,General
ask,work,I ask,Communication
asking,work,I asking am,Communication
asked,work,I yesterday asked,Communication
assemble,join,I assemble,General
assembling,join,I assembleing am,General
assembled,join,I yesterday assembleed,General
assist,work,I assist,General
assisting,work,I assisting am,General
assisted,work,I yesterday assisted,General
astonished,work,I astonished,General
astonisheding,work,I astonisheding am,General
attack,fight,I attack,General
attacking,fight,I attacking am,General
attacked,fight,I yesterday attacked,General
bag,bag,I bag,General
baging,bag,I baging am,General
baged,bag,I yesterday baged,General
bake,cook,I bake,Food Preparation
baking,cook,I bakeing am,Food Preparation
baked,cook,I yesterday bakeed,Food Preparation
balance,equal,I balance,General
balancing,equal,I balanceing am,General
balanced,equal,I yesterday balanceed,General
bandage,bandage,I bandage,Medical
bandaging,bandage,I bandageing am,Medical
bandaged,bandage,I yesterday bandageed,Medical
bargain,work,I bargain,Shopping
bargaining,work,I bargaining am,Shopping
bargained,work,I yesterday bargained,Shopping
bat,bat,I bat,Sports & Exercise
bating,bat,I bating am,Sports & Exercise
bated,bat,I yesterday bated,Sports & Exercise
bath,wash,I bath do,Daily Activities
bathing,wash,I bathing am,Daily Activities
bathed,wash,I yesterday bathed,Daily Activities
battery,work,I battery,General
batterying,work,I batterying am,General
batteryed,work,I yesterday batteryed,General
beat,beat,I beat,General
beating,beat,I beating am,General
beated,beat,I yesterday beated,General
bend,bend,I bend,General
bending,bend,I bending am,General
bended,bend,I yesterday bended,General
blanch,boil,I blanch,General
blanching,boil,I blanching am,General
blanched,boil,I yesterday blanched,General
bleed,work,I bleed,General
bleeding,work,I bleeding am,General
blend,work,I blend,General
blending,work,I blending am,General
blended,work,I yesterday blended,General
board,enter,I board,Transportation
boarding,enter,I boarding am,Transportation
boarded,enter,I yesterday boarded,Transportation
boil,cook,I boil,Food Preparation
boiling,cook,I boiling am,Food Preparation
boiled,cook,I yesterday boiled,Food Preparation
bolt,work,I bolt,General
bolting,work,I bolting am,General
bolted,work,I yesterday bolted,General
bore,work,I bore,General
boring,work,I boreing am,General
bored,work,I yesterday boreed,General
borrow,borrow,I borrow,Financial
borrowing,borrow,I borrowing am,Financial
borrowed,borrow,I yesterday borrowed,Financial
bow,work,I bow,General
bowing,work,I bowing am,General
bowed,work,I yesterday bowed,General
bowl,throw,I bowl,General
bowling,throw,I bowling am,General
bowled,throw,I yesterday bowled,General
box,work,I box,Sports & Exercise
boxing,work,I boxing am,Sports & Exercise
boxed,work,I yesterday boxed,Sports & Exercise
brake,work,I brake,Transportation
braking,work,I brakeing am,Transportation
braked,work,I yesterday brakeed,Transportation
brighten,work,I brighten,General
brightening,work,I brightening am,General
brightened,work,I yesterday brightened,General
broil,cook,I broil,General
broiling,cook,I broiling am,General
broiled,cook,I yesterday broiled,General
browse,work,I browse,Shopping
browsing,work,I browseing am,Shopping
browsed,work,I yesterday browseed,Shopping
brush,brush,I brush do,Daily Activities
brushing,brush,I brushing am,Daily Activities
brushed,brush,I yesterday brushed,Daily Activities
budget,plan,I budget,Financial
budgeting,plan,I budgeting am,Financial
budgeted,plan,I yesterday budgeted,Financial
build,build,I build,Professional
building,build,I building am,Professional
builded,build,I yesterday builded,Professional
button,work,I button,General
buttoning,work,I buttoning am,General
buttoned,work,I yesterday buttoned,General
buy,take,I buy,Shopping
buying,take,I buying am,Shopping
buyed,take,I yesterday buyed,Shopping
calculate,think,I calculate,General
calculating,think,I calculateing am,General
calculated,think,I yesterday calculateed,General
call,phone,I call,Communication
calling,phone,I calling am,Communication
called,phone,I yesterday called,Communication
carry,carry,I now carry,Hand Actions
carrying,carry,I carrying am,Hand Actions
carryed,carry,I yesterday carryed,Hand Actions
catch,catch,I now catch,Hand Actions
catching,catch,I catching am,Hand Actions
catched,catch,I yesterday catched,Hand Actions
cement,join,I cement,General
cementing,join,I cementing am,General
cemented,join,I yesterday cemented,General
charge,power,I charge,Technology
charging,power,I chargeing am,Technology
charged,power,I yesterday chargeed,Technology
chat,talk,I chat,General
chating,talk,I chating am,General
chated,talk,I yesterday chated,General
check,see,I check,General
checking,see,I checking am,General
checked,see,I yesterday checked,General
checkout,pay,I checkout,General
checkouting,pay,I checkouting am,General
checkouted,pay,I yesterday checkouted,General
cheerful,work,I cheerful,General
cheerfuling,work,I cheerfuling am,General
cheerfuled,work,I yesterday cheerfuled,General
choose,pick,I choose,Shopping
choosing,pick,I chooseing am,Shopping
choosed,pick,I yesterday chooseed,Shopping
chop,cut,I chop,Food Preparation
choping,cut,I choping am,Food Preparation
choped,cut,I yesterday choped,Food Preparation
chuckle,laugh,I chuckle,General
chuckling,laugh,I chuckleing am,General
chuckled,laugh,I yesterday chuckleed,General
clap,clap,I clap,General
claping,clap,I claping am,General
claped,clap,I yesterday claped,General
clarify,work,I clarify,General
clarifying,work,I clarifying am,General
clarifyed,work,I yesterday clarifyed,General
clean,wash,I clean do,Daily Activities
cleaning,wash,I cleaning am,Daily Activities
cleaned,wash,I yesterday cleaned,Daily Activities
click,click,I click,Technology
clicking,click,I clicking am,Technology
clicked,click,I yesterday clicked,Technology
climb,up,I now climb,Movement Actions
climbing,up,I climbing am,Movement Actions
climbed,up,I yesterday climbed,Movement Actions
close,close,I close,General
closing,close,I closeing am,General
closed,close,I yesterday closeed,General
collect,collect,I collect,General
collecting,collect,I collecting am,General
collected,collect,I yesterday collected,General
color,draw,I color,General
coloring,draw,I coloring am,General
colored,draw,I yesterday colored,General
comb,brush,I comb,General
combing,brush,I combing am,General
combed,brush,I yesterday combed,General
communicate,talk,I communicate,General
communicating,talk,I communicateing am,General
communicated,talk,I yesterday communicateed,General
commute,travel,I commute,Transportation
commuting,travel,I commuteing am,Transportation
commuted,travel,I yesterday commuteed,Transportation
compensate,pay,I compensate,General
compensating,pay,I compensateing am,General
compensated,pay,I yesterday compensateed,General
compete,fight,I compete,General
competing,fight,I competeing am,General
competed,fight,I yesterday competeed,General
complain,complain,I complain,General
complaining,complain,I complaining am,General
complained,complain,I yesterday complained,General
compost,work,I compost,General
composting,work,I composting am,General
composted,work,I yesterday composted,General
comprehend,know,I comprehend,General
comprehending,know,I comprehending am,General
comprehended,know,I yesterday comprehended,General
compute,work,I compute,General
computing,work,I computeing am,General
computed,work,I yesterday computeed,General
concrete,build,I concrete,General
concreting,build,I concreteing am,General
concreted,build,I yesterday concreteed,General
confused,work,I confused,General
confuseding,work,I confuseding am,General
connect,join,I connect,Technology
connecting,join,I connecting am,Technology
connected,join,I yesterday connected,Technology
conserve,save,I conserve,Environmental
conserving,save,I conserveing am,Environmental
conserved,save,I yesterday conserveed,Environmental
construct,build,I construct,Construction
constructing,build,I constructing am,Construction
constructed,build,I yesterday constructed,Construction
contaminate,work,I contaminate,General
contaminating,work,I contaminateing am,General
contaminated,work,I yesterday contaminateed,General
control,control,I control,General
controling,control,I controling am,General
controled,control,I yesterday controled,General
cook,cook,I cook do,Daily Activities
cooking,cook,I cooking am,Daily Activities
cooked,cook,I yesterday cooked,Daily Activities
cool,work,I cool,General
cooling,work,I cooling am,General
cooled,work,I yesterday cooled,General
coordinate,work,I coordinate,General
coordinating,work,I coordinateing am,General
coordinated,work,I yesterday coordinateed,General
copy,copy,I copy,General
copying,copy,I copying am,General
copyed,copy,I yesterday copyed,General
core,remove,I core,General
coring,remove,I coreing am,General
cored,remove,I yesterday coreed,General
cough,work,I cough,Medical
coughing,work,I coughing am,Medical
coughed,work,I yesterday coughed,Medical
count,count,I count,General
counting,count,I counting am,General
counted,count,I yesterday counted,General
craft,work,I craft,General
crafting,work,I crafting am,General
crafted,work,I yesterday crafted,General
crawl,work,I crawl,General
crawling,work,I crawling am,General
crawled,work,I yesterday crawled,General
create,work,I create,General
creating,work,I createing am,General
created,work,I yesterday createed,General
credit,borrow,I credit,General
crediting,borrow,I crediting am,General
credited,borrow,I yesterday credited,General
crisis,problem,I crisis,General
crisising,problem,I crisising am,General
crisised,problem,I yesterday crisised,General
crop,work,I crop,General
croping,work,I croping am,General
croped,work,I yesterday croped,General
crouch,bend,I crouch,General
crouching,bend,I crouching am,General
crouched,bend,I yesterday crouched,General
cruise,work,I cruise,General
cruising,work,I cruiseing am,General
cruised,work,I yesterday cruiseed,General
cry,sad,I cry,Social
crying,sad,I crying am,Social
cryed,sad,I yesterday cryed,Social
cultivate,work,I cultivate,Agricultural
cultivating,work,I cultivateing am,Agricultural
cultivated,work,I yesterday cultivateed,Agricultural
cure,work,I cure,Medical
curing,work,I cureing am,Medical
cured,work,I yesterday cureed,Medical
custody,work,I custody,General
custodying,work,I custodying am,General
custodyed,work,I yesterday custodyed,General
cut,cut,I cut,Food Preparation
cuting,cut,I cuting am,Food Preparation
cuted,cut,I yesterday cuted,Food Preparation
cyclone,work,I cyclone,General
cycloning,work,I cycloneing am,General
cycloned,work,I yesterday cycloneed,General
damage,break,I damage,General
damaging,break,I damageing am,General
damaged,break,I yesterday damageed,General
danger,work,I people danger,Disaster Management
dangering,work,I dangering am,Disaster Management
dangered,work,I yesterday dangered,Disaster Management
debate,talk,I debate,General
debating,talk,I debateing am,General
debated,talk,I yesterday debateed,General
debt,work,I debt,General
debting,work,I debting am,General
debted,work,I yesterday debted,General
decide,work,I decide,General
deciding,work,I decideing am,General
decided,work,I yesterday decideed,General
decorate,work,I decorate,Household
decorating,work,I decorateing am,Household
decorated,work,I yesterday decorateed,Household
deep-fry,work,I deep-fry,General
deep-frying,work,I deep-frying am,General
deep-fryed,work,I yesterday deep-fryed,General
defend,work,I defend,Legal
defending,work,I defending am,Legal
defended,work,I yesterday defended,Legal
delete,remove,I delete,Technology
deleting,remove,I deleteing am,Technology
deleted,remove,I yesterday deleteed,Technology
deliver,bring,I deliver,Professional
delivering,bring,I delivering am,Professional
delivered,bring,I yesterday delivered,Professional
demolish,work,I demolish,Construction
demolishing,work,I demolishing am,Construction
demolished,work,I yesterday demolished,Construction
demonstrate,work,I demonstrate,General
demonstrating,work,I demonstrateing am,General
demonstrated,work,I yesterday demonstrateed,General
deploy,send,I people deploy,Disaster Management
deploying,send,I deploying am,Disaster Management
deployed,send,I yesterday deployed,Disaster Management
deposit,work,I deposit,General
depositing,work,I depositing am,General
deposited,work,I yesterday deposited,General
descend,down,I descend,General
descending,down,I descending am,General
descended,down,I yesterday descended,General
design,plan,I design,Professional
designing,plan,I designing am,Professional
designed,plan,I yesterday designed,Professional
destroy,break,I destroy,General
destroying,break,I destroying am,General
destroyed,break,I yesterday destroyed,General
detain,hold,I detain,General
detaining,hold,I detaining am,General
detained,hold,I yesterday detained,General
diagnose,check,I diagnose,Medical
diagnosing,check,I diagnoseing am,Medical
diagnosed,check,I yesterday diagnoseed,Medical
dice,cut,I dice,General
dicing,cut,I diceing am,General
diced,cut,I yesterday diceed,General
dig,work,I dig,General
diging,work,I diging am,General
diged,work,I yesterday diged,General
dim,work,I dim,General
diming,work,I diming am,General
dimed,work,I yesterday dimed,General
direct,work,I direct,General
directing,work,I directing am,General
directed,work,I yesterday directed,General
dirty,work,I dirty,General
dirtying,work,I dirtying am,General
dirtyed,work,I yesterday dirtyed,General
disaster,break,I disaster,General
disastering,break,I disastering am,General
disastered,break,I yesterday disastered,General
disconnect,work,I disconnect,General
disconnecting,work,I disconnecting am,General
disconnected,work,I yesterday disconnected,General
discount,work,I discount,General
discounting,work,I discounting am,General
discounted,work,I yesterday discounted,General
discuss,talk,I discuss,General
discussing,talk,I discussing am,General
discussed,talk,I yesterday discussed,General
disembark,work,I disembark,General
disembarking,work,I disembarking am,General
disembarked,work,I yesterday disembarked,General
dismantle,take,I dismantle,General
dismantling,take,I dismantleing am,General
dismantled,take,I yesterday dismantleed,General
distribute,work,I people distribute,Disaster Management
distributing,work,I distributeing am,Disaster Management
distributed,work,I yesterday distributeed,Disaster Management
dive,jump,I dive,General
diving,jump,I diveing am,General
dived,jump,I yesterday diveed,General
divide,divide,I divide,General
dividing,divide,I divideing am,General
divided,divide,I yesterday divideed,General
donation,work,I donation,General
donationing,work,I donationing am,General
donationed,work,I yesterday donationed,General
dose,work,I dose,General
dosing,work,I doseing am,General
dosed,work,I yesterday doseed,General
doubtful,work,I doubtful,General
doubtfuling,work,I doubtfuling am,General
doubtfuled,work,I yesterday doubtfuled,General
download,receive,I download,Technology
downloading,receive,I downloading am,Technology
downloaded,receive,I yesterday downloaded,Technology
draw,draw,I draw,General
drawing,draw,I drawing am,General
drawed,draw,I yesterday drawed,General
dress,work,I dress,General
dressing,work,I dressing am,General
dressed,work,I yesterday dressed,General
dribble,work,I dribble,General
dribbling,work,I dribbleing am,General
dribbled,work,I yesterday dribbleed,General
drill,work,I drill,Construction
drilling,work,I drilling am,Construction
drilled,work,I yesterday drilled,Construction
drink,work,I drink do,Daily Activities
drinking,work,I drinking am,Daily Activities
drinked,work,I yesterday drinked,Daily Activities
drive,car,I now drive,Movement Actions
driving,car,I driveing am,Movement Actions
drived,car,I yesterday driveed,Movement Actions
drop,fall,I drop,General
droping,fall,I droping am,General
droped,fall,I yesterday droped,General
dry,remove,I dry,General
drying,remove,I drying am,General
dryed,remove,I yesterday dryed,General
dust,work,I dust,General
dusting,work,I dusting am,General
dusted,work,I yesterday dusted,General
earn,work,I earn,Financial
earning,work,I earning am,Financial
earned,work,I yesterday earned,Financial
earthquake,shake,I earthquake,General
earthquaking,shake,I earthquakeing am,General
earthquaked,shake,I yesterday earthquakeed,General
eat,eat,I eat do,Daily Activities
eating,eat,I eating am,Daily Activities
eated,eat,I yesterday eated,Daily Activities
email,write,I email,Communication
emailing,write,I emailing am,Communication
emailed,write,I yesterday emailed,Communication
embark,work,I embark,General
embarking,work,I embarking am,General
embarked,work,I yesterday embarked,General
embrace,hold,I embrace,General
embracing,hold,I embraceing am,General
embraced,hold,I yesterday embraceed,General
emergency,run,I people emergency,Disaster Management
emergencying,run,I emergencying am,Disaster Management
emergencyed,run,I yesterday emergencyed,Disaster Management
erase,delete,I erase,General
erasing,delete,I eraseing am,General
erased,delete,I yesterday eraseed,General
erect,work,I erect,General
erecting,work,I erecting am,General
erected,work,I yesterday erected,General
evacuate,run,I people evacuate,Disaster Management
evacuating,run,I evacuateing am,Disaster Management
evacuated,run,I yesterday evacuateed,Disaster Management
evacuee,work,I evacuee,General
evacueing,work,I evacueeing am,General
evacueed,work,I yesterday evacueeed,General
examine,examine,I examine,Medical
examining,examine,I examineing am,Medical
examined,examine,I yesterday examineed,Medical
excavate,work,I excavate,General
excavating,work,I excavateing am,General
excavated,work,I yesterday excavateed,General
exchange,work,I exchange,General
exchanging,work,I exchangeing am,General
exchanged,work,I yesterday exchangeed,General
excited,work,I excited,General
exciteding,work,I exciteding am,General
exercise,work,I exercise,Sports & Exercise
exercising,work,I exerciseing am,Sports & Exercise
exercised,work,I yesterday exerciseed,Sports & Exercise
exit,leave,I exit,Transportation
exiting,leave,I exiting am,Transportation
exited,leave,I yesterday exited,Transportation
experiment,work,I experiment,Education
experimenting,work,I experimenting am,Education
experimented,work,I yesterday experimented,Education
explain,work,I explain,General
explaining,work,I explaining am,General
explained,work,I yesterday explained,General
explore,work,I explore,General
exploring,work,I exploreing am,General
explored,work,I yesterday exploreed,General
express,work,I express,General
expressing,work,I expressing am,General
expressed,work,I yesterday expressed,General
fall,fall,I fall,General
falling,fall,I falling am,General
falled,fall,I yesterday falled,General
farm,work,I farm,General
farming,work,I farming am,General
farmed,work,I yesterday farmed,General
feel,touch,I feel,General
feeling,touch,I feeling am,General
feeled,touch,I yesterday feeled,General
fertilize,feed,I fertilize,General
fertilizing,feed,I fertilizeing am,General
fertilized,feed,I yesterday fertilizeed,General
field,catch,I field,General
fielding,catch,I fielding am,General
fielded,catch,I yesterday fielded,General
fight,fight,I fight,General
fighting,fight,I fighting am,General
fighted,fight,I yesterday fighted,General
fine,work,I fine,Legal
fining,work,I fineing am,Legal
fined,work,I yesterday fineed,Legal
fire,work,I fire,General
firing,work,I fireing am,General
fired,work,I yesterday fireed,General
fix,work,I fix,General
fixing,work,I fixing am,General
fixed,work,I yesterday fixed,General
flavor,taste,I flavor,General
flavoring,taste,I flavoring am,General
flavored,taste,I yesterday flavored,General
float,work,I float,General
floating,work,I floating am,General
floated,work,I yesterday floated,General
flood,water,I flood,General
