word,sign,sovExample,category
refugeed,work,I yesterday refugeeed,General
refund,work,I refund,General
refunding,work,I refunding am,General
refunded,work,I yesterday refunded,General
rehabilitate,work,I rehabilitate,General
rehabilitating,work,I rehabilitateing am,General
rehabilitated,work,I yesterday rehabilitateed,General
release,open,I release,General
releasing,open,I releaseing am,General
released,open,I yesterday releaseed,General
relief,work,I people relief,Disaster Management
reliefing,work,I reliefing am,Disaster Management
reliefed,work,I yesterday reliefed,Disaster Management
remember,work,I remember,General
remembering,work,I remembering am,General
remembered,work,I yesterday remembered,General
remove,take,I remove,General
removing,take,I removeing am,General
removed,take,I yesterday removeed,General
repair,work,I repair,Professional
repairing,work,I repairing am,Professional
repaired,work,I yesterday repaired,Professional
reply,answer,I reply,General
replying,answer,I replying am,General
replyed,answer,I yesterday replyed,General
rescue,carry,I people rescue,Disaster Management
rescuing,carry,I rescueing am,Disaster Management
rescued,carry,I yesterday rescueed,Disaster Management
research,research,I research,Education
researching,research,I researching am,Education
researched,research,I yesterday researched,Education
return,work,I return,Shopping
returning,work,I returning am,Shopping
returned,work,I yesterday returned,Shopping
reuse,work,I reuse,Environmental
reusing,work,I reuseing am,Environmental
reused,work,I yesterday reuseed,Environmental
reverse,work,I reverse,General
reversing,work,I reverseing am,General
reversed,work,I yesterday reverseed,General
review,check,I review,General
reviewing,check,I reviewing am,General
reviewed,check,I yesterday reviewed,General
revise,work,I revise,General
revising,work,I reviseing am,General
revised,work,I yesterday reviseed,General
reward,work,I reward,General
rewarding,work,I rewarding am,General
rewarded,work,I yesterday rewarded,General
ride,work,I now ride,Movement Actions
riding,work,I rideing am,Movement Actions
rided,work,I yesterday rideed,Movement Actions
rinse,wash,I rinse,General
rinsing,wash,I rinseing am,General
rinsed,wash,I yesterday rinseed,General
roast,cook,I roast,General
roasting,cook,I roasting am,General
roasted,cook,I yesterday roasted,General
roll,turn,I roll,General
rolling,turn,I rolling am,General
rolled,turn,I yesterday rolled,General
rotate,turn,I rotate,General
rotating,turn,I rotateing am,General
rotated,turn,I yesterday rotateed,General
rub,work,I rub,General
rubing,work,I rubing am,General
rubed,work,I yesterday rubed,General
rule,work,I rule,Legal
ruling,work,I ruleing am,Legal
ruled,work,I yesterday ruleed,Legal
run,run,I now run,Movement Actions
runing,run,I runing am,Movement Actions
runed,run,I yesterday runed,Movement Actions
sad,sad,I sad,General
sading,sad,I sading am,General
saded,sad,I yesterday saded,General
safe,work,I people safe,Disaster Management
safing,work,I safeing am,Disaster Management
safed,work,I yesterday safeed,Disaster Management
sail,boat,I sail,Transportation
sailing,boat,I sailing am,Transportation
sailed,boat,I yesterday sailed,Transportation
sale,work,I sale,General
saling,work,I saleing am,General
saled,work,I yesterday saleed,General
salt,work,I salt,General
salting,work,I salting am,General
salted,work,I yesterday salted,General
sand,work,I sand,General
sanding,work,I sanding am,General
sanded,work,I yesterday sanded,General
sauté,work,I sauté,General
sautéing,work,I sautéing am,General
sautéed,work,I yesterday sautéed,General
save,keep,I save,Financial
saving,keep,I saveing am,Financial
saved,keep,I yesterday saveed,Financial
saw,cut,I saw,Construction
sawing,cut,I sawing am,Construction
sawed,cut,I yesterday sawed,Construction
say,say,I say,General
saying,say,I saying am,General
sayed,say,I yesterday sayed,General
scan,can,I scan,General
scaning,can,I scaning am,General
scaned,can,I yesterday scaned,General
score,work,I score,General
scoring,work,I scoreing am,General
scored,work,I yesterday scoreed,General
scratch,work,I scratch,General
scratching,work,I scratching am,General
scratched,work,I yesterday scratched,General
screen,see,I screen,General
screening,see,I screening am,General
screened,see,I yesterday screened,General
screw,turn,I screw,General
screwing,turn,I screwing am,General
screwed,turn,I yesterday screwed,General
scroll,work,I scroll,General
scrolling,work,I scrolling am,General
scrolled,work,I yesterday scrolled,General
scrub,wash,I scrub,General
scrubing,wash,I scrubing am,General
scrubed,wash,I yesterday scrubed,General
search,search,I search,Technology
searching,search,I searching am,Technology
searched,search,I yesterday searched,Technology
season,add,I season,General
seasoning,add,I seasoning am,General
seasoned,add,I yesterday seasoned,General
secure,work,I secure,General
securing,work,I secureing am,General
secured,work,I yesterday secureed,General
see,see,I see,General
seing,see,I seeing am,General
seed,see,I yesterday seeed,General
seed,e,I seed,Agricultural
seeding,e,I seeding am,Agricultural
select,work,I select,Shopping
selecting,work,I selecting am,Shopping
selected,work,I yesterday selected,Shopping
sell,work,I sell,Professional
selling,work,I selling am,Professional
selled,work,I yesterday selled,Professional
send,send,I send,General
sending,send,I sending am,General
sended,send,I yesterday sended,General
sentence,work,I sentence,General
sentencing,work,I sentenceing am,General
sentenced,work,I yesterday sentenceed,General
separate,divide,I separate,General
separating,divide,I separateing am,General
separated,divide,I yesterday separateed,General
serve,work,I serve,Food Preparation
serving,work,I serveing am,Food Preparation
served,work,I yesterday serveed,Food Preparation
setup,arrange,I setup,General
setuping,arrange,I setuping am,General
setuped,arrange,I yesterday setuped,General
shake,shake,I now shake,Hand Actions
shaking,shake,I shakeing am,Hand Actions
shaked,shake,I yesterday shakeed,Hand Actions
shake hands,work,I shake hands,General
shake handsing,work,I shake handsing am,General
shake handsed,work,I yesterday shake handsed,General
shape,form,I shape,General
shaping,form,I shapeing am,General
shaped,form,I yesterday shapeed,General
share,work,I share,General
sharing,work,I shareing am,General
shared,work,I yesterday shareed,General
shave,cut,I shave,General
shaving,cut,I shaveing am,General
shaved,cut,I yesterday shaveed,General
shelter,work,I people shelter,Disaster Management
sheltering,work,I sheltering am,Disaster Management
sheltered,work,I yesterday sheltered,Disaster Management
shocked,work,I shocked,General
shockeding,work,I shockeding am,General
shoot,throw,I shoot,General
shooting,throw,I shooting am,General
shooted,throw,I yesterday shooted,General
shop,work,I shop,Shopping
shoping,work,I shoping am,Shopping
shoped,work,I yesterday shoped,Shopping
shower,wash,I shower,General
showering,wash,I showering am,General
showered,wash,I yesterday showered,General
shred,tear,I shred,General
shreding,tear,I shreding am,General
sign,sign,I sign,Communication
signing,sign,I signing am,Communication
signed,sign,I yesterday signed,Communication
signal,work,I signal,General
signaling,work,I signaling am,General
signaled,work,I yesterday signaled,General
signin,enter,I signin,General
signining,enter,I signining am,General
signined,enter,I yesterday signined,General
signout,leave,I signout,General
signouting,leave,I signouting am,General
signouted,leave,I yesterday signouted,General
simmer,boil,I simmer,General
simmering,boil,I simmering am,General
simmered,boil,I yesterday simmered,General
sit,work,I now sit,Movement Actions
siting,work,I siting am,Movement Actions
sited,work,I yesterday sited,Movement Actions
sketch,draw,I sketch,General
sketching,draw,I sketching am,General
sketched,draw,I yesterday sketched,General
skin,remove,I skin,General
skining,remove,I skining am,General
skined,remove,I yesterday skined,General
skip,jump,I skip,General
skiping,jump,I skiping am,General
skiped,jump,I yesterday skiped,General
slap,work,I slap,General
slaping,work,I slaping am,General
slaped,work,I yesterday slaped,General
slice,cut,I slice,Food Preparation
slicing,cut,I sliceing am,Food Preparation
sliced,cut,I yesterday sliceed,Food Preparation
slide,work,I slide,General
sliding,work,I slideing am,General
slided,work,I yesterday slideed,General
slip,fall,I slip,General
sliping,fall,I sliping am,General
sliped,fall,I yesterday sliped,General
smash,work,I smash,General
smashing,work,I smashing am,General
smashed,work,I yesterday smashed,General
smile,work,I smile,Social
smiling,work,I smileing am,Social
smiled,work,I yesterday smileed,Social
sneeze,blow,I sneeze,General
sneezing,blow,I sneezeing am,General
sneezed,blow,I yesterday sneezeed,General
sob,cry,I sob,General
sobing,cry,I sobing am,General
sobed,cry,I yesterday sobed,General
solve,answer,I solve,Education
solving,answer,I solveing am,Education
solved,answer,I yesterday solveed,Education
sort,work,I sort,General
sorting,work,I sorting am,General
sorted,work,I yesterday sorted,General
sow,work,I sow,General
sowing,work,I sowing am,General
sowed,work,I yesterday sowed,General
speak,work,I speak,Communication
speaking,work,I speaking am,Communication
speaked,work,I yesterday speaked,Communication
spell,write,I spell,Education
spelling,write,I spelling am,Education
spelled,write,I yesterday spelled,Education
spend,work,I spend,Financial
spending,work,I spending am,Financial
spended,work,I yesterday spended,Financial
spice,add,I spice,General
spicing,add,I spiceing am,General
spiced,add,I yesterday spiceed,General
spin,work,I spin,General
spining,work,I spining am,General
spined,work,I yesterday spined,General
spray,work,I spray,General
spraying,work,I spraying am,General
sprayed,work,I yesterday sprayed,General
sprint,run,I now sprint,Movement Actions
sprinting,run,I sprinting am,Movement Actions
sprinted,run,I yesterday sprinted,Movement Actions
square,work,I square,General
squaring,work,I squareing am,General
squared,work,I yesterday squareed,General
squeeze,work,I squeeze,General
squeezing,work,I squeezeing am,General
squeezed,work,I yesterday squeezeed,General
stand,work,I now stand,Movement Actions
standing,work,I standing am,Movement Actions
standed,work,I yesterday standed,Movement Actions
steam,cook,I steam,General
steaming,cook,I steaming am,General
steamed,cook,I yesterday steamed,General
steer,work,I steer,Transportation
steering,work,I steering am,Transportation
steered,work,I yesterday steered,Transportation
stir,work,I stir,Food Preparation
stiring,work,I stiring am,Food Preparation
stired,work,I yesterday stired,Food Preparation
stitch,work,I stitch,General
stitching,work,I stitching am,General
stitched,work,I yesterday stitched,General
stock,work,I stock,General
stocking,work,I stocking am,General
stocked,work,I yesterday stocked,General
stop,work,I stop,General
stoping,work,I stoping am,General
stoped,work,I yesterday stoped,General
storm,work,I storm,General
storming,work,I storming am,General
stormed,work,I yesterday stormed,General
stretch,reach,I stretch,General
stretching,reach,I stretching am,General
stretched,reach,I yesterday stretched,General
strike,work,I strike,General
striking,work,I strikeing am,General
striked,work,I yesterday strikeed,General
study,learn,I study do,Daily Activities
studying,learn,I studying am,Daily Activities
studyed,learn,I yesterday studyed,Daily Activities
stumble,fall,I stumble,General
stumbling,fall,I stumbleing am,General
stumbled,fall,I yesterday stumbleed,General
subtract,work,I subtract,General
subtracting,work,I subtracting am,General
subtracted,work,I yesterday subtracted,General
sue,work,I sue,Legal
suing,work,I sueing am,Legal
sued,work,I yesterday sueed,Legal
supervise,work,I supervise,General
supervising,work,I superviseing am,General
supervised,work,I yesterday superviseed,General
supply,work,I supply,General
supplying,work,I supplying am,General
supplyed,work,I yesterday supplyed,General
support,hold,I support,General
supporting,hold,I supporting am,General
supported,hold,I yesterday supported,General
surf,work,I surf,General
surfing,work,I surfing am,General
surfed,work,I yesterday surfed,General
surgery,work,I surgery,General
surgerying,work,I surgerying am,General
surgeryed,work,I yesterday surgeryed,General
surprised,work,I surprised,General
surpriseding,work,I surpriseding am,General
survivor,person,I survivor,General
survivoring,person,I survivoring am,General
survivored,person,I yesterday survivored,General
sweep,work,I sweep,Household
sweeping,work,I sweeping am,Household
sweeped,work,I yesterday sweeped,Household
swim,work,I now swim,Movement Actions
swiming,work,I swiming am,Movement Actions
swimed,work,I yesterday swimed,Movement Actions
swipe,wipe,I swipe,General
swiping,wipe,I swipeing am,General
swiped,wipe,I yesterday swipeed,General
switch,work,I switch,General
switching,work,I switching am,General
switched,work,I yesterday switched,General
talk,talk,I talk,Communication
talking,talk,I talking am,Communication
talked,talk,I yesterday talked,Communication
tap,touch,I tap,General
taping,touch,I taping am,General
taped,touch,I yesterday taped,General
taste,eat,I taste,General
tasting,eat,I tasteing am,General
tasted,eat,I yesterday tasteed,General
teach,teach,I teach,Education
teaching,teach,I teaching am,Education
teached,teach,I yesterday teached,Education
tear,sad,I tear,General
tearing,sad,I tearing am,General
teared,sad,I yesterday teared,General
tear down,work,I tear down,General
tear downing,work,I tear downing am,General
tear downed,work,I yesterday tear downed,General
tell,work,I tell,General
telling,work,I telling am,General
telled,work,I yesterday telled,General
temperature,temperature,I temperature,General
temperaturing,temperature,I temperatureing am,General
temperatured,temperature,I yesterday temperatureed,General
test,try,I test,General
testing,try,I testing am,General
tested,try,I yesterday tested,General
text,write,I text,Communication
texting,write,I texting am,Communication
texted,write,I yesterday texted,Communication
thaw,work,I thaw,General
thawing,work,I thawing am,General
thawed,work,I yesterday thawed,General
thresh,work,I thresh,General
threshing,work,I threshing am,General
threshed,work,I yesterday threshed,General
thrilled,work,I thrilled,General
thrilleding,work,I thrilleding am,General
throw,throw,I now throw,Hand Actions
throwing,throw,I throwing am,Hand Actions
throwed,throw,I yesterday throwed,Hand Actions
till,work,I till,General
tilling,work,I tilling am,General
tilled,work,I yesterday tilled,General
toast,cook,I toast,General
toasting,cook,I toasting am,General
toasted,cook,I yesterday toasted,General
toss,throw,I toss,General
tossing,throw,I tossing am,General
tossed,throw,I yesterday tossed,General
touch,touch,I now touch,Hand Actions
touching,touch,I touching am,Hand Actions
touched,touch,I yesterday touched,Hand Actions
touchscreen,touch,I touchscreen,General
touchscreening,touch,I touchscreening am,General
touchscreened,touch,I yesterday touchscreened,General
trade,work,I trade,General
trading,work,I tradeing am,General
traded,work,I yesterday tradeed,General
train,practice,I train,Sports & Exercise
training,practice,I training am,Sports & Exercise
trained,practice,I yesterday trained,Sports & Exercise
transfer,work,I transfer,General
transfering,work,I transfering am,General
transfered,work,I yesterday transfered,General
translate,work,I translate,General
translating,work,I translateing am,General
translated,work,I yesterday translateed,General
transport,carry,I transport,General
transporting,carry,I transporting am,General
transported,carry,I yesterday transported,General
travel,travel,I travel,Transportation
traveling,travel,I traveling am,Transportation
traveled,travel,I yesterday traveled,Transportation
treat,work,I treat,Medical
treating,work,I treating am,Medical
treated,work,I yesterday treated,Medical
tree,tree,I tree,General
treing,tree,I treeing am,General
treed,tree,I yesterday treeed,General
trim,cut,I trim,General
triming,cut,I triming am,General
trimed,cut,I yesterday trimed,General
trip,fall,I trip,General
triping,fall,I triping am,General
triped,fall,I yesterday triped,General
tsunami,work,I tsunami,General
tsunamiing,work,I tsunamiing am,General
tsunamied,work,I yesterday tsunamied,General
tunnel,work,I tunnel,General
tunneling,work,I tunneling am,General
tunneled,work,I yesterday tunneled,General
turn,turn,I turn,General
turning,turn,I turning am,General
turned,turn,I yesterday turned,General
twist,turn,I twist,General
twisting,turn,I twisting am,General
twisted,turn,I yesterday twisted,General
type,write,I type,Technology
typing,write,I typeing am,Technology
typed,write,I yesterday typeed,Technology
uncertain,work,I uncertain,General
uncertaining,work,I uncertaining am,General
uncertained,work,I yesterday uncertained,General
understand,know,I understand,General
understanding,know,I understanding am,General
understanded,know,I yesterday understanded,General
undo,work,I undo,General
undoing,work,I undoing am,General
undoed,work,I yesterday undoed,General
unfold,open,I unfold,General
unfolding,open,I unfolding am,General
unfolded,open,I yesterday unfolded,General
unload,take,I unload,General
unloading,take,I unloading am,General
unloaded,take,I yesterday unloaded,General
unlock,open,I unlock,General
unlocking,open,I unlocking am,General
unlocked,open,I yesterday unlocked,General
unpack,open,I unpack,General
unpacking,open,I unpacking am,General
unpacked,open,I yesterday unpacked,General
unplug,work,I unplug,General
unpluging,work,I unpluging am,General
unpluged,work,I yesterday unpluged,General
upload,send,I upload,Technology
uploading,send,I uploading am,Technology
uploaded,send,I yesterday uploaded,Technology
upset,sad,I upset,General
upseting,sad,I upseting am,General
upseted,sad,I yesterday upseted,General
vaccinate,work,I vaccinate,General
vaccinating,work,I vaccinateing am,General
vaccinated,work,I yesterday vaccinateed,General
vacuum,work,I vacuum,General
vacuuming,work,I vacuuming am,General
vacuumed,work,I yesterday vacuumed,General
verdict,work,I verdict,General
verdicting,work,I verdicting am,General
verdicted,work,I yesterday verdicted,General
victim,person,I victim,General
victiming,person,I victiming am,General
victimed,person,I yesterday victimed,General
volley,work,I volley,General
volleying,work,I volleying am,General
volleyed,work,I yesterday volleyed,General
volunteer,work,I volunteer,General
volunteering,work,I volunteering am,General
volunteered,work,I yesterday volunteered,General
vomit,vomit,I vomit,General
vomiting,vomit,I vomiting am,General
vomited,vomit,I yesterday vomited,General
voyage,travel,I voyage,General
voyaging,travel,I voyageing am,General
voyaged,travel,I yesterday voyageed,General
walk,work,I now walk,Movement Actions
walking,work,I walking am,Movement Actions
walked,work,I yesterday walked,Movement Actions
warm,work,I warm,General
warming,work,I warming am,General
warmed,work,I yesterday warmed,General
warn,work,I people warn,Disaster Management
warning,work,I warning am,Disaster Management
warned,work,I yesterday warned,Disaster Management
wash,wash,I wash do,Daily Activities
washing,wash,I washing am,Daily Activities
washed,wash,I yesterday washed,Daily Activities
watch,see,I watch,Communication
watching,see,I watching am,Communication
watched,see,I yesterday watched,Communication
water,water,I water,Agricultural
watering,water,I watering am,Agricultural
watered,water,I yesterday watered,Agricultural
wave,work,I now wave,Hand Actions
waving,work,I waveing am,Hand Actions
waved,work,I yesterday waveed,Hand Actions
wear,work,I wear,General
wearing,work,I wearing am,General
weared,work,I yesterday weared,General
weed,remove,I weed,General
weeding,remove,I weeding am,General
weep,cry,I weep,General
weeping,cry,I weeping am,General
weeped,cry,I yesterday weeped,General
weigh,weigh,I weigh,General
weighing,weigh,I weighing am,General
weighed,weigh,I yesterday weighed,General
welcome,welcome,I welcome,Social
welcoming,welcome,I welcomeing am,Social
welcomed,welcome,I yesterday welcomeed,Social
weld,join,I weld,Construction
welding,join,I welding am,Construction
welded,join,I yesterday welded,Construction
whisk,work,I whisk,General
whisking,work,I whisking am,General
whisked,work,I yesterday whisked,General
win,win,I win,General
wining,win,I wining am,General
wined,win,I yesterday wined,General
wipe,wipe,I wipe,General
wiping,wipe,I wipeing am,General
wiped,wipe,I yesterday wipeed,General
withdraw,take,I withdraw,General
withdrawing,take,I withdrawing am,General
withdrawed,take,I yesterday withdrawed,General
work,work,I work do,Daily Activities
working,work,I working am,Daily Activities
worked,work,I yesterday worked,Daily Activities
wrap,cover,I wrap,General
wraping,cover,I wraping am,General
wraped,cover,I yesterday wraped,General
wrestle,fight,I wrestle,Sports & Exercise
wrestling,fight,I wrestleing am,Sports & Exercise
wrestled,fight,I yesterday wrestleed,Sports & Exercise
write,write,I write do,Daily Activities
writing,write,I writeing am,Daily Activities
writed,write,I yesterday writeed,Daily Activities
x-ray,x-ray,I x-ray,General
x-raying,x-ray,I x-raying am,General
x-rayed,x-ray,I yesterday x-rayed,General
yoga,work,I yoga,Sports & Exercise
yogaing,work,I yogaing am,Sports & Exercise
yogaed,work,I yesterday yogaed,Sports & Exercise
zoom,work,I zoom,General
zooming,work,I zooming am,General
zoomed,work,I yesterday zoomed,General
